=================================
=  Czech Republic

Josh King,                    F,  - ,      b. 30 Mar 2007
Kryštof Lichtenberg,          G,  1.97 m,  b. 30 Nov 2002 @ Mělník
Samuel Šigut,                 M,  1.78 m,  b. 31 Oct 2002 @ Frýdek-Místek
Vojtěch Baloun,               D,  1.87 m,  b. 25 Oct 2002
Jiří Borek,                   G,  - ,      b. 23 Sep 2002
Martin Suchomel,              D,  1.83 m,  b. 11 Sep 2002
Štěpán Bachůrek,              G,  1.92 m,  b. 24 Aug 2002
Adam Stejskal,                G,  1.89 m,  b. 23 Aug 2002 @ Brno
Martin Hlaváč,                D,  1.83 m,  b. 22 Aug 2002
Daniel Fila,                  F,  1.90 m,  b. 21 Aug 2002 @ Brno
Michal Ševčík,                M,  1.81 m,  b. 13 Aug 2002 @ Třebíč
Libor Bobčík,                 F,  1.89 m,  b. 8 Aug 2002
František Matys,              D,  1.88 m,  b. 5 Aug 2002
Sebastian Boháč,              M,  1.78 m,  b. 27 Jul 2002 @ Hlučín
Adam Hložek,                  F,  1.80 m,  b. 25 Jul 2002 @ Ivančice
Lukáš Horníček,               G,  1.97 m,  b. 13 Jul 2002 @ Vysoké Mýto
Juraj Teplan,                 M,  1.89 m,  b. 7 Jul 2002
David Tkáč,                   D,  1.82 m,  b. 6 Jul 2002
Jakub Křišťan,                M,  1.83 m,  b. 5 Jul 2002 @ Prague
Petr Kurka,                   D,  1.81 m,  b. 4 Jul 2002 @ Vysoké Mýto
Matyáš Coňk,                  D,  1.84 m,  b. 3 Jul 2002 @ Prague
Tomáš Schánělec,              F,  1.84 m,  b. 20 Jun 2002 @ Písek
Lukáš Hájek,                  M,  1.72 m,  b. 11 Jun 2002
Václav Sejk,                  F,  1.80 m,  b. 18 May 2002 @ Děčín
Adam Ritter,                  M,  1.84 m,  b. 16 Apr 2002 @ Jihlava
Jan Sirotník,                 G,  1.90 m,  b. 16 Apr 2002
Pavel Hural,                  M,  1.81 m,  b. 16 Apr 2002
Lukáš Pešl,                   G,  1.97 m,  b. 12 Apr 2002
Matěj Kadlec,                 D,  - ,      b. 4 Apr 2002
Zdeněk Říha,                  D,  1.88 m,  b. 4 Apr 2002
Samuel Šimek,                 M,  1.80 m,  b. 30 Mar 2002
Antonín Svoboda,              F,  1.88 m,  b. 14 Mar 2002 @ Brno
Marek Icha,                   M,  1.87 m,  b. 14 Mar 2002
Ondřej Mastný,                G,  1.83 m,  b. 8 Mar 2002 @ Třebíč
Aleš Kočí,                    M,  - ,      b. 5 Mar 2002
Jan Hellebrand,               M,  1.77 m,  b. 2 Mar 2002
David Pech,                   M,  1.77 m,  b. 22 Feb 2002 @ Brandýs nad Labem
Tomáš Koukola,                D,  1.86 m,  b. 16 Feb 2002
Josef Koželuh,                D,  1.80 m,  b. 15 Feb 2002 @ Plzeň
Matouš Nikl,                  M,  1.91 m,  b. 2 Feb 2002
Dominik Procházka,            F,  1.78 m,  b. 25 Jan 2002
Denis Budínský,               M,  1.76 m,  b. 22 Jan 2002
Vojtěch Novák,                M,  1.76 m,  b. 20 Jan 2002
Lukáš Vorlický,               F,  1.86 m,  b. 18 Jan 2002 @ Boskovice
Jaroslav Harušťák,            D,  1.80 m,  b. 8 Jan 2002

Adam Ščudla,                  M,  1.79 m,  b. 28 Dec 2001
Daniel Smékal,                F,  1.93 m,  b. 8 Dec 2001
Radek Lehovec,                D,  - ,      b. 5 Dec 2001
Josef Švanda,                 D,  1.78 m,  b. 3 Dec 2001
Vojtěch Sychra,               M,  - ,      b. 30 Nov 2001
Martin Cedidla,               D,  1.85 m,  b. 22 Nov 2001
Karel Pojezný,                D,  1.86 m,  b. 23 Sep 2001 @ Jihlava
Denis Donát,                  D,  1.89 m,  b. 14 Sep 2001 @ Náchod
Petr Jaroň,                   M,  1.78 m,  b. 30 Aug 2001
Ibrahim Aldin,                M,  1.75 m,  b. 6 Aug 2001 @ Brno
Pavel Hájek,                  F,  1.84 m,  b. 3 Aug 2001
Vítězslav Jaroš,              G,  1.90 m,  b. 23 Jul 2001 @ Příbram
Matěj Vít,                    M,  1.78 m,  b. 22 Jul 2001 @ Mimon
Jakub Markovič,               G,  1.88 m,  b. 13 Jul 2001 @ Přerov
Marek Kejř,                   M,  1.82 m,  b. 12 Jul 2001 @ Hradec Králové
Pavel Juroška,                M,  - ,      b. 7 Jul 2001
Lukáš Hasalík,                G,  1.93 m,  b. 20 Jun 2001
Nicolas Penner,               M,  1.77 m,  b. 19 Jun 2001 @ České Budějovice
Petr Pudhorocký,              M,  1.74 m,  b. 13 Jun 2001 @ Prague
Oliver Velich,                F,  1.85 m,  b. 12 Jun 2001
Matěj Ryneš,                  M,  1.86 m,  b. 30 May 2001
Adam Gabriel,                 D,  1.90 m,  b. 28 May 2001
Šimon Gabriel,                D,  1.87 m,  b. 28 May 2001 @ Prague
Adam Gorčica,                 M,  1.76 m,  b. 26 May 2001
Daniel Kosek,                 D,  1.81 m,  b. 19 May 2001 @ Pardubice
Marek Polášek,                M,  - ,      b. 18 May 2001
Matěj Radosta,                M,  1.75 m,  b. 10 May 2001 @ Ústí nad Labem
Tomáš Polyák,                 M,  1.84 m,  b. 7 May 2001
Jan Fiala,                    F,  1.98 m,  b. 4 May 2001
Matyáš Kozák,                 F,  1.75 m,  b. 4 May 2001
Michal Hošek,                 D,  1.85 m,  b. 22 Apr 2001 @ Prague
Lukáš Červ,                   M,  1.79 m,  b. 10 Apr 2001
Tomáš Kubart,                 D,  - ,      b. 10 Apr 2001
Lukáš Hrdlička,               M,  1.79 m,  b. 3 Apr 2001
Ladislav Krobot,              F,  1.81 m,  b. 1 Apr 2001
Václav Smrkovský,             G,  1.86 m,  b. 26 Mar 2001
Jakub Hora,                   D,  1.81 m,  b. 8 Mar 2001
Jakub Emmer,                  M,  1.75 m,  b. 1 Mar 2001 @ Teplice
Jan Halász,                   D,  1.82 m,  b. 28 Feb 2001 @ Kladno
Tomáš Vlček,                  D,  1.81 m,  b. 28 Feb 2001
Radim Černický,               M,  1.90 m,  b. 18 Feb 2001
Jáchym Šerák,                 G,  1.87 m,  b. 14 Feb 2001
Jan Žambůrek,                 M,  1.82 m,  b. 13 Feb 2001
Jakub Trefil,                 G,  1.88 m,  b. 9 Feb 2001
Daniel Kerl,                  G,  - ,      b. 14 Jan 2001
Tomáš Vincour,                D,  - ,      b. 2 Jan 2001

Pavel Šulc,                   M,  1.81 m,  b. 29 Dec 2000 @ Karlovy Vary
Jan Knapík,                   D,  1.92 m,  b. 11 Dec 2000
Martin Vlachovský,            M,  1.75 m,  b. 28 Nov 2000
Kristian Michal,              M,  1.70 m,  b. 26 Nov 2000
David Zima,                   D,  1.90 m,  b. 8 Nov 2000 @ Olomouc
Lukáš Husek,                  D,  2.02 m,  b. 25 Oct 2000 @ Jablonec nad Nisou
Michal Fukala,                D,  1.80 m,  b. 22 Oct 2000 @ Frýdek-Místek
Denis Vala,                   D,  - ,      b. 11 Oct 2000
David Píchal,                 M,  - ,      b. 5 Oct 2000
Martin Janáček,               G,  1.96 m,  b. 22 Sep 2000 @ Cehnice
Jaromír Srubek,               D,  - ,      b. 21 Sep 2000
Adam Lupač,                   M,  - ,      b. 20 Sep 2000
Filip Souček,                 M,  1.82 m,  b. 16 Sep 2000 @ Štěpánkovice
Michal Beran,                 M,  1.67 m,  b. 22 Aug 2000
Štěpán Langer,                M,  1.79 m,  b. 16 Aug 2000
Tomáš Čvančara,               F,  1.90 m,  b. 13 Aug 2000 @ Neratovice
David Jurásek,                D,  1.83 m,  b. 7 Aug 2000 @ Dolní Němčí
Adam Zadražil,                G,  1.93 m,  b. 6 Aug 2000 @ Mladá Boleslav
Jiří Mezera,                  D,  1.90 m,  b. 21 Jul 2000
Denis Darmovzal,              M,  1.84 m,  b. 17 Jul 2000
Štěpán Harazim,               D,  1.83 m,  b. 13 Jul 2000 @ Opava
Patrik Slaměna,               M|F,1.77 m,  b. 7 Jul 2000
Jakub Elbel,                  D,  1.90 m,  b. 6 Jul 2000
Martin Melichar,              G,  1.86 m,  b. 6 Jul 2000
Martin Rolinek,               D,  1.88 m,  b. 30 Jun 2000 @ Brno
David Heidenreich,            D,  1.91 m,  b. 24 Jun 2000 @ Ústí nad Labem
Jakub Brát,                   G,  1.88 m,  b. 22 Jun 2000 @ Trutnov
David Macháček,               M,  1.81 m,  b. 14 Jun 2000
Michal Kinčl,                 M,  1.79 m,  b. 5 Jun 2000
Michal Kohut,                 M,  - ,      b. 4 Jun 2000
Václav Míka,                  D,  1.89 m,  b. 1 Jun 2000 @ Plzeň
Tomáš Koschatzký,             D,  1.81 m,  b. 31 May 2000
Vasil Kušej,                  F,  1.68 m,  b. 24 May 2000 @ Ústí nad Labem
Tomáš Zlatohlávek,            M,  1.83 m,  b. 22 May 2000
Matěj Kovář,                  G,  1.96 m,  b. 17 May 2000 @ Uherské Hradiště
Tomáš Vajner,                 G,  1.85 m,  b. 13 May 2000
Daniel Horák,                 D,  1.85 m,  b. 10 May 2000
Jan Kubala,                   M,  1.89 m,  b. 5 May 2000 @ Frýdek-Místek
Dominik Žák,                  M,  1.83 m,  b. 30 Apr 2000
Vojtěch Marek,                G,  1.90 m,  b. 18 Apr 2000 @ Brno
Štěpán Krunert,               M,  1.88 m,  b. 23 Mar 2000
Vojtěch Patrák,               F,  1.76 m,  b. 18 Mar 2000
Daniel Kováč,                 M,  1.80 m,  b. 3 Mar 2000
František Belej,              F,  - ,      b. 29 Feb 2000
Filip Kaloč,                  M,  1.90 m,  b. 27 Feb 2000 @ Ostrava
Pavel Osmančík,               F,  1.75 m,  b. 27 Feb 2000
Ondřej Pachlopník,            M,  1.79 m,  b. 14 Feb 2000 @ Brno
Vladimír Neuman,              G,  1.96 m,  b. 10 Feb 2000
Matěj Valenta,                M,  1.81 m,  b. 9 Feb 2000 @ Prague
Tomáš Ostrák,                 F,  1.76 m,  b. 5 Feb 2000 @ Frýdek-Místek
Tomáš Solil,                  M,  - ,      b. 1 Feb 2000
Robin Hranáč,                 D,  1.89 m,  b. 29 Jan 2000 @ Plzeň
Jakub Kolář,                  D,  1.88 m,  b. 16 Jan 2000
Michael Hönig,                M,  1.69 m,  b. 13 Jan 2000
David Doležal,                M,  1.77 m,  b. 5 Jan 2000
Matěj Koubek,                 F,  1.79 m,  b. 4 Jan 2000 @ Prague

Matěj Polidar,                D|M,1.79 m,  b. 20 Dec 1999
Lukáš Rogožan,                F,  1.75 m,  b. 1 Dec 1999
Jonáš Vais,                   M,  1.84 m,  b. 24 Nov 1999
Hugo Jan Bačkovský,           G,  1.84 m,  b. 10 Nov 1999
Jakub Matoušek,               M,  1.77 m,  b. 25 Oct 1999
Václav Svoboda,               D,  1.81 m,  b. 16 Sep 1999
Filip Kubala,                 F,  1.82 m,  b. 2 Sep 1999 @ Třinec
Adam Petrák,                  M,  1.81 m,  b. 20 Aug 1999
Dominik Pleštil,              M,  1.86 m,  b. 9 Aug 1999 @ Jablonec nad Nisou
Dominik Gembický,             F,  1.80 m,  b. 26 Jul 1999
Václav Drchal,                F,  1.87 m,  b. 25 Jul 1999 @ České Budějovice
Dominik Soukeník,             M,  1.82 m,  b. 13 Jul 1999
Filip Čihák,                  D,  1.90 m,  b. 10 Jul 1999 @ Plzeň
Vojtěch Křišťál,              D,  1.87 m,  b. 10 Jul 1999 @ Jihlava
Jakub Lapeš,                  G,  1.89 m,  b. 4 Jul 1999
David Buchta,                 M,  1.84 m,  b. 27 Jun 1999
Lukáš Pfeifer,                M,  - ,      b. 24 Jun 1999
Michal Vrána,                 M,  - ,      b. 18 Jun 1999
Radovan Murin,                G,  1.83 m,  b. 3 Jun 1999 @ Spišská Nová Ves
Michal Sadílek,               M,  1.69 m,  b. 31 May 1999 @ Uherské Hradiště
Patrik Hellebrand,            M,  1.80 m,  b. 16 May 1999 @ Opava
Mojmír Chytil,                F,  1.87 m,  b. 29 Apr 1999 @ Skalka
Ondřej Zmrzlý,                D|M,1.85 m,  b. 22 Apr 1999
Ladislav Krejčí,              M,  1.87 m,  b. 20 Apr 1999 @ Brno
Dominik Plechatý,             D,  1.82 m,  b. 18 Apr 1999 @ Zvole
Martin Graiciar,              F,  1.84 m,  b. 11 Apr 1999 @ Plzeň
Jiří Boula,                   M,  1.81 m,  b. 8 Apr 1999 @ Prague
Jan Král,                     D,  1.90 m,  b. 5 Apr 1999 @ Česká Lípa
Petr Mikulec,                 G,  1.96 m,  b. 5 Apr 1999 @ Vrchlabí
Antonín Růsek,                F,  1.87 m,  b. 22 Mar 1999 @ Troskotovice
Pavel Zifčák,                 F,  1.87 m,  b. 2 Mar 1999 @ Velká Bystřice
Jiří Spáčil,                  M,  1.79 m,  b. 11 Feb 1999
Jakub Černín,                 D,  1.99 m,  b. 8 Feb 1999 @ Ladná
František Kotek,              G,  1.80 m,  b. 3 Feb 1999 @ Prague
Christian Frýdek,             M,  1.71 m,  b. 1 Feb 1999 @ Leverkusen
David Huf,                    F,  1.87 m,  b. 23 Jan 1999 @ Jevíčko
Patrik Žitný,                 M,  1.77 m,  b. 21 Jan 1999 @ Ústí nad Labem
Jan Fortelný,                 M,  1.75 m,  b. 19 Jan 1999 @ Prague
Jiří Letáček,                 G,  1.96 m,  b. 9 Jan 1999 @ Pardubice
Jiří Sláma,                   D,  1.77 m,  b. 8 Jan 1999
Luděk Němeček,                G,  1.97 m,  b. 4 Jan 1999

Miroslav Dvořák,              D,  1.86 m,  b. 18 Dec 1998
Marcel Čermák,                M,  1.77 m,  b. 25 Nov 1998 @ Prague
Marek Kouba,                  G,  1.85 m,  b. 1 Nov 1998 @ Prague
Robert Jukl,                  M,  1.80 m,  b. 28 Oct 1998 @ Hradec Králové
Ondřej Lingr,                 M,  1.75 m,  b. 7 Oct 1998 @ Havířov
Matouš Trmal,                 G,  1.94 m,  b. 2 Oct 1998 @ Znojmo
Adam Rychlý,                  D,  1.93 m,  b. 25 Sep 1998 @ Opava
Denis Granečný,               D,  1.80 m,  b. 7 Sep 1998 @ Ostrava
Martin Nečas,                 D,  1.68 m,  b. 4 Sep 1998
Jakub Klíma,                  D,  1.83 m,  b. 28 Aug 1998 @ Kolín
Jan Čtvrtečka,                G,  1.90 m,  b. 14 Aug 1998
Dušan Pinc,                   F,  1.93 m,  b. 1 Aug 1998
Ladislav Mužík,               M|F,- ,      b. 25 Jul 1998
Nicolas Šmíd,                 G,  - ,      b. 23 Jul 1998
Dominik Hašek,                D,  1.86 m,  b. 19 Jul 1998
Daniel Souček,                D,  1.80 m,  b. 18 Jul 1998 @ Prague
Ondřej Chvěja,                M|F,1.85 m,  b. 17 Jul 1998 @ Hlučín
Karel Hasil,                  D,  - ,      b. 13 Jul 1998
Tomáš Smejkal,                M,  1.76 m,  b. 7 Jul 1998
Adam Richter,                 G,  1.88 m,  b. 25 Jun 1998 @ Kolín
Matěj Luksch,                 G,  1.91 m,  b. 19 Jun 1998 @ České Budějovice
Michal Hlavatý,               M,  1.70 m,  b. 17 Jun 1998 @ Hořovice
Dominik Janošek,              M,  1.83 m,  b. 13 Jun 1998 @ Rajhrad
František Čech,               D,  1.79 m,  b. 12 Jun 1998 @ Hradec Králové
Daniel Vašulín,               F,  1.95 m,  b. 11 Jun 1998 @ Hlinsko
Jan Šulc,                     M,  1.69 m,  b. 2 Jun 1998 @ Liberec
David Douděra,                D|M,1.75 m,  b. 31 May 1998 @ Brandýs Nad Labem
Daniel Mareček,               M,  1.80 m,  b. 30 May 1998 @ Prague
Jakub Rezek,                  M,  1.74 m,  b. 29 May 1998 @ Uherský Brod
Daniel Köstl,                 D,  1.89 m,  b. 23 May 1998 @ Prague
Roman Holiš,                  D,  1.86 m,  b. 21 May 1998
Alex Král,                    M,  1.84 m,  b. 19 May 1998 @ Košice
Libor Holík,                  D,  1.80 m,  b. 12 May 1998 @ Záhorovice
Jan Matoušek,                 M,  1.76 m,  b. 9 May 1998 @ Příbram
Jan Plachý,                   G,  1.95 m,  b. 7 May 1998 @ Teplice
Jiří Ciupa,                   G,  1.90 m,  b. 7 May 1998
Ladislav Kodad,               D,  1.80 m,  b. 23 Apr 1998
Antonín Vaníček,              M,  1.80 m,  b. 22 Apr 1998
Jakub Matoušek,               F,  - ,      b. 10 Apr 1998
Ondřej Šašinka,               F,  1.82 m,  b. 21 Mar 1998 @ Frýdek-Místek
Emil Tischler,                D|M,1.84 m,  b. 13 Mar 1998 @ Stockerau
Jakub Martinec,               D,  1.87 m,  b. 13 Mar 1998 @ Vysoké Mýto
Patrik Schön,                 M,  1.80 m,  b. 12 Mar 1998
Pavel Bucha,                  M,  1.74 m,  b. 11 Mar 1998 @ Nelahozeves
Daniel Stropek,               D,  1.86 m,  b. 3 Mar 1998
Ondřej Mach,                  G,  1.92 m,  b. 3 Mar 1998 @ Hradec Králové
Patrik Haitl,                 D,  1.71 m,  b. 1 Mar 1998
David Šimek,                  D,  1.93 m,  b. 15 Feb 1998
Ondřej Lehoczki,              D,  1.83 m,  b. 10 Feb 1998 @ Varnsdorf
Ondřej Novotný,               F,  1.83 m,  b. 5 Feb 1998
Matěj Chaluš,                 D,  1.85 m,  b. 2 Feb 1998 @ Prague
Jan Šiška,                    G,  1.90 m,  b. 31 Jan 1998
Martin Jedlička,              G,  1.86 m,  b. 24 Jan 1998 @ Příbram
Dominik Smékal,               F,  1.81 m,  b. 22 Jan 1998 @ Boskovice
Filip Havelka,                M,  1.77 m,  b. 21 Jan 1998 @ Prague

Lukáš Matějka,                F,  1.82 m,  b. 20 Dec 1997 @ Plzeň
Roman Květ,                   M,  1.87 m,  b. 17 Dec 1997
Radek Látal,                  D,  1.85 m,  b. 16 Dec 1997
Václav Černý,                 F,  1.78 m,  b. 17 Oct 1997 @ Příbram
Michal Bílek,                 M,  1.74 m,  b. 13 Oct 1997 @ Kladno
Jiří Januška,                 M,  1.78 m,  b. 11 Oct 1997
Michal Surzyn,                D,  1.78 m,  b. 10 Sep 1997 @ Olomouc
David Lischka,                D,  1.89 m,  b. 15 Aug 1997 @ Ludgeřovice
Marek Vintr,                  M,  1.85 m,  b. 1 Aug 1997 @ Brno
Daniel Trubač,                M,  1.75 m,  b. 17 Jul 1997 @ Opočno
Tomáš Wiesner,                D,  1.76 m,  b. 17 Jul 1997 @ Prague
Filip Blecha,                 M,  1.78 m,  b. 16 Jul 1997
Jakub Janetzký,               M,  1.81 m,  b. 12 Jun 1997 @ Opava
Matěj Pulkrab,                F,  1.85 m,  b. 23 May 1997 @ Prague
Denis Laňka,                  M,  1.76 m,  b. 13 May 1997
Štěpán Hrnčíř,                G,  - ,      b. 8 May 1997
Lukáš Zukal,                  D,  - ,      b. 4 May 1997
Jan Vodháněl,                 M,  1.75 m,  b. 25 Apr 1997 @ Mladá Boleslav
Tomáš Ladra,                  M,  1.78 m,  b. 24 Apr 1997 @ Česká Lípa
Lukáš Kania,                  M,  1.68 m,  b. 19 Apr 1997
Roman Macek,                  M,  1.88 m,  b. 18 Apr 1997 @ Zlín
Martin Macej,                 F,  1.88 m,  b. 15 Apr 1997
Ondřej Mihálik,               M|F,1.88 m,  b. 2 Apr 1997 @ Jablonec nad Nisou
David Štěpánek,               D,  1.83 m,  b. 30 Mar 1997 @ Humpolec
Filip Hašek,                  M,  1.68 m,  b. 20 Mar 1997 @ Prague
Dominik Sváček,               G,  1.88 m,  b. 24 Feb 1997 @ Klatovy
David Březina,                D,  1.83 m,  b. 16 Feb 1997 @ Prague
Jan Stejskal,                 G,  1.90 m,  b. 14 Feb 1997 @ Pardubice
Dominik Šup,                  F,  1.82 m,  b. 28 Jan 1997
Jakub Kučera,                 M,  1.83 m,  b. 28 Jan 1997 @ Brno
Vojtěch Smrž,                 M,  1.83 m,  b. 20 Jan 1997 @ Šumperk
Martin Chlumecký,             D,  1.88 m,  b. 11 Jan 1997 @ Prague
Jan Kuchta,                   F,  1.77 m,  b. 8 Jan 1997 @ Liberec
Jiří Klíma,                   F,  1.90 m,  b. 5 Jan 1997 @ Jihlava
Jiří Floder,                  G,  1.90 m,  b. 3 Jan 1997 @ Brno

Matěj Helešic,                D,  1.75 m,  b. 12 Nov 1996 @ Ostrava
Lukáš Provod,                 M,  1.89 m,  b. 23 Oct 1996 @ Plzeň
Michal Sáček,                 D|M,1.75 m,  b. 19 Sep 1996 @ Hustopeče
Jakub Pokorný,                D,  1.86 m,  b. 11 Sep 1996 @ Višňové
Kryštof Lasák,                G,  1.86 m,  b. 25 Aug 1996
Michal Bezpalec,              M,  1.82 m,  b. 19 Aug 1996 @ Strakonice
Tomáš Zajíc,                  F,  1.82 m,  b. 12 Aug 1996 @ Suchov
Jakub Barac,                  M,  1.76 m,  b. 4 Aug 1996
Laco Takács,                  D|M,1.93 m,  b. 15 Jul 1996 @ Františkovy Lázně
Jakub Šural,                  D,  1.81 m,  b. 1 Jul 1996 @ Brno
Jurij Medveděv,               D,  1.80 m,  b. 18 Jun 1996 @ Badamsha
