=================================
=  Mexico

Marcelo Flores,               M,  1.68 m,  b. 1 Oct 2003 @ Georgetown (CAN)
Paul Aguilar,                 D,  1.77 m,  b. 6 Mar 1986 @ Concordia

Guillermo Ochoa,              G,  1.83 m,  b. 13 Jul 1985 @ Guadalajara

Oribe Peralta,                F,  1.78 m,  b. 12 Jan 1984 @ Torreón

Alberto Medina,               M,  1.72 m,  b. 29 May 1983 @ Culiacán

Alfredo Talavera,             G,  1.88 m,  b. 18 Sep 1982 @ La Barca

Jonny Magallón,               D,  1.78 m,  b. 21 Nov 1981 @ Ocotlán
Francisco Rodríguez,          D,  1.91 m,  b. 20 Oct 1981 @ Mazatlán
Jesús Corona,                 G,  1.81 m,  b. 26 Jan 1981 @ Guadalajara

Israel Castro,                M,  1.76 m,  b. 20 Dec 1980 @ Mexico City
Carlos Salcido,               D,  1.74 m,  b. 2 Apr 1980 @ Ocotlán
Ricardo Osorio,               D,  1.73 m,  b. 30 Mar 1980 @ Huajuapan De León

Adolfo Bautista,              M,  1.85 m,  b. 15 Sep 1979 @ Dolores Hidalgo
Luis Michel,                  G,  1.78 m,  b. 21 Jul 1979 @ Guadalajara
Gerardo Torrado,              M,  1.73 m,  b. 30 Apr 1979 @ Mexico City
Rafael Márquez,               D,  1.82 m,  b. 13 Feb 1979 @ Zamora

Guillermo Franco,             F,  1.82 m,  b. 3 Nov 1976 @ Corrientes

Óscar Pérez,                  G,  1.71 m,  b. 1 Feb 1973 @ Mexico City
Cuauhtémoc Blanco,            F,  1.77 m,  b. 17 Jan 1973 @ Mexico City
